o,u,t,p,u,t,/,2,0,1,8,-,1,1,-,0,7,.,c,s,v
144311889,MU,Bullish,$MU yawn bouncing between 40.85 and 41 range.
144310419,MU,Bullish,$MU explode already
144308726,MU,Bullish,"$MU The shorts were funny at 34, it&#39;s going to 20 they said, Lol"
144308294,MU,Bullish,$MU micron continues to show leadership in memory market yet these wallstreet croooks continue to bad mouth them.
144306189,MU,Bullish,"$MU Come on you bastard, push through 41 with conviction!"
144306177,MU,Bullish,"$TWLO I’m in at 84 from like 2 month ago.   Took a beating for a bit, but this really helps my other laggards $MU $MMM"
144305590,MU,Bullish,$MU *yawn* 😴 LT
144304813,MU,Bullish,$MU into the 50&#39;s soon.
144303368,MU,Bullish,"$MU I&#39;m liking this consolidation ~$41, hopefully another buying surge comes in."
144302712,MU,Bullish,$MU Looks like the Clowns News Network is very angry at Trump! and so does he! Best News conference ever!
144300165,MU,Bullish,$MU Trendlines on a chart work untill they don&#39;t. Bet on Fundamentals and hold long.
144299293,MU,Bullish,$EA $MU $BABA just 1 more fking US dollar each and iam happy for today.
144313565,JD,Bullish,$JD shares are still very cheap if your in it for the long haul.
144306467,JD,Bullish,$JD needs to sprint faster😄
144306320,JD,Bullish,$JD what about guidance ?2019 is supposed to be great
144304367,JD,Bullish,$JD can this hit 30 after er?
144303649,JD,Bullish,$JD I&#39;m thinking he pushed it back so the case will be resolved and the earnings at the same time..will be a big rally 🔙🔛🔝
144296807,JD,Bullish,"$JD BY PLANE, TRAIN OR AUTOMOBILE: it needs to get past 26.6...or else just dancing in circles damn wall street"
144296214,JD,Bullish,"$JD IT HELPS: BABA is on the move..
https://seekingalpha.com/article/4219293-alibaba-exuberance-justified"
144295903,JD,Bearish,"$JD SPY just broke out to new highs and this can’t even move $.02 and break above $24, PATHETIC!! If spy makes one tick Lower this drops tho"
144294850,JD,Bullish,$JD WAITING FOR TAKEOFF: for some kind of trade deal hopefully by NEXT Jan latest!
144294712,JD,Bullish,$JD Next level: 26.60 till then ...Wall Street bullchitting around right now
144291929,JD,Bullish,"@rtg If you buy, it&#39;ll fall. All jokes aside, it won&#39;t move until trade tensions improve. I&#39;m long $JD &amp; $BABA, but running out of patience"
144315797,BABA,Bullish,$BABA u will have ur day. Not today.
144315519,BABA,Bullish,$BABA So many clowns don’t get it!   Your buying good companies at a great price to own not to sell! You should be buying and holding 10yrs!
144315305,BABA,Bullish,$BABA You dont buy your home and Bc it goes up or down %20 sell It! Bc you bought it to own it. youe buying BABA to own a piece of it!
144315196,BABA,Bullish,$BABA I started accumulating. A small position for the future. It was just a temporary correction these past few weeks.  No recession.
144314091,BABA,Bearish,"$BABA After the dust settled, we’re still inside the descending channel."
144312901,BABA,Bearish,$BABA Can this Breakout&gt;. its testing upper trendline resistance
144311394,BABA,Bearish,$BABA I still see issues with the numbers on Head wight with financed growth. Just is not sustainable with lose of market share IMO.
144310832,BABA,Bullish,$BABA what a waste of a good day in the market.  Bullish but losing faith
144310081,BABA,Bullish,$BABA $240 yet?
144309365,BABA,Bullish,Watching $BABA #Trumponomics Are we invading China ? Trump saying he will stop China 2025 ? $SPY $DIA $QQQ $AMZN $FB $NFLX $GOOGL $UUP $VIX
144308397,BABA,Bullish,Watching $BABA #Trumponomics WH press conf 11/7 Trump saying he will to stop China 2025 ?!? $SPY $DIA $QQQ $AMZN $FB $NFLX $GOOGL $UUP $VIX
144307748,BABA,Bullish,"$BABA deal will come soon, probably a Christmas gift for everyone owning $BABA"
144307420,BABA,Bullish,"$BABA China needs to settle this, or it&#39;s going to harm their economy and Chinese stocks. Why don&#39;t they just settle and pay, They should"
144307287,BABA,Bullish,$BABA Trump : - We are trying to get a deal with China soon&quot;
144306445,BABA,Bullish,$BABA So far trump hasn&#39;t mentioned much about trade other than &quot;deals going well&quot;.
144309242,IQ,Bullish,$IQ lol this is worse then watching paint dry...
144308007,IQ,Bullish,$IQ  finish the day strong!
144305867,IQ,Bullish,$IQ still holding at $42 a share.
144303168,IQ,Bullish,$IQ Russia and China forging a new financial pact. Will this be the new Russian Netflix too???
144302068,IQ,Bullish,$IQ CH EYE N YAH
144300681,IQ,Bullish,$IQ $BABA $BIDU what&#39;s all of the hesitation at this point. China growth is still the largest in the world stock like $IQ no tariff impact
144298326,IQ,Bullish,$iq 160% down huh lol
144297456,IQ,Bullish,$IQ just go to zero and put me out of my misery
144296377,IQ,Bullish,$IQ low volume and ww are riding high guys good job
